team,tweet
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,"Coming up at 6 w/ @MutWEEI 

▶️ OBJ Watch is on. Should the Pats be in? 
▶️ 2001 feel to this Pats season? 
▶️ Celtics Drama continues 

@Meghan_Ottolini joins in a 7 
@Steve_Perrault RedSox Hot Stove 9 

Your calls and tweets all night @WEEI https://t.co/LCrYab358v"
celtics,"RT @TDISportsClips: November 9, 2013: Jeff Green (@unclejeffgreen) hits a three over LeBron at the buzzer to give the Celtics a 111-110 win…"
celtics,Who the f is Thomas lol https://t.co/uWolEgzSQk
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,"@Ashton46197834 @celtics Borderline allstar, Pretend MVP.   Well if he scored 36 then they would have won.  He takes enough shots to..."
celtics,@jamesouttapkttt @305WeLive @Bam13GOAT @Visual1232 @Keefmorris Lol keep that same energy hope the Celtics enjoy the play in
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,RT @Jaybird335: Me when the Celtics have a Simmons/Richardson/Tatum/Horford/Drummond starting 5 https://t.co/s0cx2SfVoK
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,"RT @NBAMemes: Sixers: We want Jaylen Brown for Ben Simmons.

Celtics: https://t.co/Nie8dyN4ZB"
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,"Boston Celtics All-Star forward Jaylen Brown is expected to miss 1-2 weeks with a right hamstring strain, according to coach Ime Udoka."
celtics,"RT @IHSBCA1: Our thoughts and prayers go out to @CelticProvy , the entire @PCHS_Celtics community and the family of #RJ3."
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,"RT @NBALatam: Un día como hoy, en 1988, Michael Jordan anotaba 52 puntos ante los poderosos Celtics 🔥

#NBA75 https://t.co/nXYec1mWja"
celtics,Celtics lose top scorer Brown to hamstring injury https://t.co/ZeBw8Cmnkv
celtics,Late 1980’s Pistons / Celtics! Two shots for Jokic and side out. https://t.co/RR4Kywruxb
celtics,"RT @celtics: 35 years old or 35 years young?

@Al_Horford has been ballin this season. https://t.co/5dsL42oSm8"
celtics,"Jaylen Brown has played great this season &amp; last season yet the Celtics aren’t winning much.

Is Brown for Simmons an actual fair trade? I think it may be."
