Team,Date,Tweet
celtics,2021-11-09 22:45:30+00:00,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,2021-11-09 22:45:21+00:00,"Coming up at 6 w/ @MutWEEI 

▶️ OBJ Watch is on. Should the Pats be in? 
▶️ 2001 feel to this Pats season? 
▶️ Celtics Drama continues 

@Meghan_Ottolini joins in a 7 
@Steve_Perrault RedSox Hot Stove 9 

Your calls and tweets all night @WEEI https://t.co/LCrYab358v"
celtics,2021-11-09 22:45:13+00:00,"RT @TDISportsClips: November 9, 2013: Jeff Green (@unclejeffgreen) hits a three over LeBron at the buzzer to give the Celtics a 111-110 win…"
celtics,2021-11-09 22:45:02+00:00,Who the f is Thomas lol https://t.co/uWolEgzSQk
celtics,2021-11-09 22:44:54+00:00,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,2021-11-09 22:44:54+00:00,"@Ashton46197834 @celtics Borderline allstar, Pretend MVP.   Well if he scored 36 then they would have won.  He takes enough shots to..."
celtics,2021-11-09 22:44:47+00:00,@jamesouttapkttt @305WeLive @Bam13GOAT @Visual1232 @Keefmorris Lol keep that same energy hope the Celtics enjoy the play in
celtics,2021-11-09 22:44:22+00:00,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,2021-11-09 22:44:18+00:00,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,2021-11-09 22:44:18+00:00,RT @Jaybird335: Me when the Celtics have a Simmons/Richardson/Tatum/Horford/Drummond starting 5 https://t.co/s0cx2SfVoK
nets,2021-11-09 22:45:14+00:00,"RT @S_Rabinal: Alex Caruso defendió solamente 2 minutos a James Harden, suficiente para anular completamente al jugador de Nets. En 11 pose…"
nets,2021-11-09 22:44:46+00:00,@Nets_Bets_10 @DutchBoyFresh @PubSportsRadio That's when the dogs bark the most tho
nets,2021-11-09 22:44:23+00:00,"RT @newsbusters: The evening network shows spent an astonishing 2,634 minutes covering the debunked Steele dossier.

They've devoted exactl…"
nets,2021-11-09 22:44:20+00:00,RT @JacManuell: Kevin Durant high fiving the Nets only good player tonight: https://t.co/u32dQu1IZK
nets,2021-11-09 22:44:05+00:00,"""Fillings nets and warming hearts""

Proud of you Riley! https://t.co/GLdR6FVJ3N"
nets,2021-11-09 22:43:41+00:00,"RT @darrenrovell: A bettor has bet $50,000 at @CaesarsSports on Gonzaga to beat Dixie State tonight. 

If they do, bettor nets $714.30!"
nets,2021-11-09 22:43:36+00:00,"RT @DaddyFatStacks8: Brooklyn Nets NEW ERA Tip Off Hat Black

https://t.co/jWgZXDY4Ya

#sponsored #brooklynnets #nba #nets #basketball #kyr…"
nets,2021-11-09 22:43:15+00:00,RT @DragonflyJonez: I was always firmly on CP3's side in this debate then Deron got shipped to the Nets and was getting 13 dimes a game wit…
nets,2021-11-09 22:43:14+00:00,RT @LongIslandNets: The Brooklyn Nets have recalled Nic Claxton from the Long Island Nets.
nets,2021-11-09 22:43:11+00:00,"RT @DaddyFatStacks8: Brooklyn Nets Nike On-Court Long Sleeve Black

https://t.co/5xzhZ9sHw8

#sponsored #brooklynnets #nba #nets #basketbal…"
knicks,2021-11-09 22:45:28+00:00,@Nigellas_Knicks @dawbes Holy shit! So glad he's ok
knicks,2021-11-09 22:45:07+00:00,RT @MarcJSpears: Knicks star Julius Randle visited the Earl Monroe New Renaissance Basketball School in the Bronx today to announce his #30…
knicks,2021-11-09 22:45:07+00:00,RT @ScottieBurner: @NBA @nyknicks A fully healthy Knicks barely beat a Embiid Tobi and Simmonsless Sixers😭
knicks,2021-11-09 22:44:25+00:00,@TVG @BreedersCup Love Knicks Go very much.He is my buddy. So proud of him❤Great article!
knicks,2021-11-09 22:44:01+00:00,"RT @thelatkeroom: TOMORROW... @BingBongGuy/ @BuildYourBoys 
 
🚨EPISODE 96 Ft. Jordie Bloom🚨

✡️ The Birth of Bing Bong
✡️ Build Your Boys…"
knicks,2021-11-09 22:43:48+00:00,@Toebald1 @TrxppeBosstar3 @Chemo_M @TheRealTacko @6ersFuckingSuck @NBA @J30_RANDLE @RjBarrett6 @nyknicks Hey sh*thead. Pay attention. The guy who I was originally talking too was a jets Knicks Mets fan.
knicks,2021-11-09 22:43:38+00:00,"RT @NBA_NewYork: The New York Knicks got their first win in Philadelphia in 2,040 days https://t.co/JE3QlLlVfw"
knicks,2021-11-09 22:43:17+00:00,Knicks Weekly Review! EverythingNYS EP10 https://t.co/m0dRgvHVFV via @YouTube
knicks,2021-11-09 22:42:35+00:00,@knicks_tape99 Hope he has his COVID shot
knicks,2021-11-09 22:41:20+00:00,RT @knicksjets4life: I see the Knicks picked up 4 wins in one night https://t.co/lRV1re2xwH
76ers,2021-11-09 22:45:19+00:00,"Aşağı yukarı bir çok takımın maçını izledim. Şuana dek en çok keyif alarak izlediğim takımlar, başta Raptors, Cavs, Bulls olmak üzere Grizzlies, 76ers ve Hornets gibi takımlar çok ilgimi çekti."
76ers,2021-11-09 22:45:08+00:00,おはようございます！今日も仕事が終わってから76ersのゲームを見ます！しかしセスも今日の試合出れるかどうかなのか…シルバーさん、もう延期にしませんか？😫
76ers,2021-11-09 22:45:04+00:00,Fuck the 76ers and the beat . Soft fraud teams
76ers,2021-11-09 22:44:22+00:00,"“Seguí viviendo la temporada regular de la NBA”, con dos juegos electrizantes entre: Milwaukee Bucks vs Philadelphia 76Ers, Hoy martes 9 noviembre 6:30m y Miami Heat vs Los Angeles Lakers, miércoles 10 de noviembre 9pm. Te esperamos en el mejor ambiente deportivo de Managua https://t.co/vPNcLgELSW"
76ers,2021-11-09 22:44:14+00:00,"🏀 Aposta NBA - 1.68 🏀
21:35 - MIL Bucks x PHI 76ers

&gt; MIL Bucks ganha.
&gt; Giannis Antetokounmpo mais de 22.5 pontos. https://t.co/eurJSnLUBv"
76ers,2021-11-09 22:43:05+00:00,"RT @Nostradamus_17: Les dejo el análisis del Bucks vs 76ers.

Ojalá les sea de provecho y sea una lectura adecuada.

Si tienes dudas o come…"
76ers,2021-11-09 22:43:00+00:00,RT @JimOwczarski: The #76ers game ops staff has been trying to figure out some kind of banner and it was getting in the way of Giannis Ante…
76ers,2021-11-09 22:42:03+00:00,"🏀 Bucks vs. 76ers 🏀

Both teams are looking for a win after some recent losses 👀 Who will our experts @kateconstable @punt_school and @ChrisRFarley1 pick? 

📺 WATCH NOW 👉 https://t.co/TvBCIt4DMY https://t.co/SVtmFoJNSb"
76ers,2021-11-09 22:39:57+00:00,And how many times did the #76ers beat rudderless #Knicks squads in the past? Right. https://t.co/MrVvIUtPlb
76ers,2021-11-09 22:39:54+00:00,The #76ers game ops staff has been trying to figure out some kind of banner and it was getting in the way of Giannis Antetokounmpo’s pregame routine. They finally folded the thing up. https://t.co/NS0XADf2jg
raptors,2021-11-09 22:45:19+00:00,"Aşağı yukarı bir çok takımın maçını izledim. Şuana dek en çok keyif alarak izlediğim takımlar, başta Raptors, Cavs, Bulls olmak üzere Grizzlies, 76ers ve Hornets gibi takımlar çok ilgimi çekti."
raptors,2021-11-09 22:44:52+00:00,Special Raptors episode tomorrow with a special Raptor mom! #WeTheNorth
raptors,2021-11-09 22:44:26+00:00,"RT @ringernba: OG Anunoby does art, we know this. But this year he’s not only bolstering the Raptors defense, he’s demanding your attention…"
raptors,2021-11-09 22:44:15+00:00,@Raptors Give Malachi minutes pls
raptors,2021-11-09 22:44:15+00:00,@FAN590 @william_lou @steven_lebron @FredVanVleet @_nopename The Raptors Show? https://t.co/x0SSj4f7VE
raptors,2021-11-09 22:43:41+00:00,RT @Raptors: Back on road https://t.co/8AtEEHlbm8
raptors,2021-11-09 22:43:10+00:00,RT @Raptors: Back on road https://t.co/8AtEEHlbm8
raptors,2021-11-09 22:42:54+00:00,"@Solentos @vevosuave lets not even talk bout Giannis beint clamped up by the raptors and essentially getting schemed tf out, but hey ! both lost so context sd to how one player is better than the other dont matter !"
raptors,2021-11-09 22:42:42+00:00,RT @RaptorsNationCP: The Raptors are gonna be a tough team for years to come 👀 https://t.co/X0V3uOUWn6
raptors,2021-11-09 22:42:37+00:00,@mykpy @LeoRautins @KateBeirness @SamMitchellNBA @Raptors @RunnymedeCI @YorkUBasketball Good question. I really don’t know. Sorry I can’t help@mykpy
bulls,2021-11-09 22:45:36+00:00,"$TSLA slightly dipped below $1T market cap today. Bulls will try to defend here right above 1,000 price. 

Would not be surprised this name gets back to 1,080-1,100 near term."
bulls,2021-11-09 22:45:31+00:00,"RT @MiLB: Taj Bradley is the ace of the Minors.

The Rays prospect wins the Top Starting Pitcher MiLBY!

🏆 https://t.co/rATHdYZT9p https://…"
bulls,2021-11-09 22:45:29+00:00,@BN_Bulls @BleacherNation okay bud😂
bulls,2021-11-09 22:45:26+00:00,"RT @XYOPepe: $xyo BRB . Pepe going to recruit more bulls to be part of #XYOARMY to battle the bears at $0.068 . 

Stay patient! #HODL #xyo…"
bulls,2021-11-09 22:45:19+00:00,"Aşağı yukarı bir çok takımın maçını izledim. Şuana dek en çok keyif alarak izlediğim takımlar, başta Raptors, Cavs, Bulls olmak üzere Grizzlies, 76ers ve Hornets gibi takımlar çok ilgimi çekti."
bulls,2021-11-09 22:45:16+00:00,@BassManTV @JoshGoodbody Nothing competes with $QRDO. You see it with even huge $KDA $QNT $LUNA bulls coming over for a piece cause they know its next in line to launch. 🌕
bulls,2021-11-09 22:45:09+00:00,"@CryptoSavy1 All this time, how cocky he had been, not thinking that he would be wrong. Savy must be able to analyze and learn why he is wrong. Still, Is there any hope for the bulls?"
bulls,2021-11-09 22:45:03+00:00,"RT @MiLB: Crown MJ Melendez.

This season's home run king wins the Top Offensive Player MiLBY!

👑 https://t.co/n4Voppowm7 https://t.co/whde…"
bulls,2021-11-09 22:44:58+00:00,RT @TheCryptoZombie: #Bitcoin bulls remain in control as $BTC bounces back for another all time high attempt! Goldman Sachs considers #BTCE…
bulls,2021-11-09 22:44:56+00:00,to preocupada dms c o bulls voltr p nmr 1 da leste p ta pensando nisso ai
cavaliers,2021-11-09 22:43:21+00:00,RT @MattModderno: #Wizards injury report vs the Cavaliers tomorrow https://t.co/Qxsq4VkCKe
cavaliers,2021-11-09 22:42:12+00:00,"RT @PasionBasketNBA: 🔥 SORTEAZO INTERNACIONAL CAMISETA RICKY RUBIO CON CLEVELAND CAVALIERS 🔥

Para participar:

➡️ Dar RT a este tweet
➡️ S…"
cavaliers,2021-11-09 22:41:44+00:00,"La ejemplar reflexión de Ricky Rubio tras el partido de su vida en la NBA: ""Ha sido un proceso de muchas maneras"" https://t.co/w18ANio9Gj"
cavaliers,2021-11-09 22:41:34+00:00,"RT @HPbasketball: Cavaliers were 5-6 through 11 games last year, 7-4 this year. So better! But also why I’m still a little cautious with be…"
cavaliers,2021-11-09 22:41:20+00:00,RT @MattModderno: #Wizards injury report vs the Cavaliers tomorrow https://t.co/Qxsq4VkCKe
cavaliers,2021-11-09 22:41:02+00:00,"RT @ChrisFedor: How do #Cavs replace Collin Sexton? Isaac Okoro's expected return Wednesday night is a good start 

https://t.co/niogW9c2rk"
cavaliers,2021-11-09 22:40:45+00:00,"The Cleveland Cavaliers haven't been to the playoffs without someone named LeBron on their team since 1998! This seasons team just might make it! Steve Purciello breaks the team down #LetEmKnow 

https://t.co/Fyh4qcPCgu https://t.co/117VRGZTzW"
cavaliers,2021-11-09 22:40:40+00:00,"RT @NBAdabad: maiores sequências de vitórias na NBA no momento:

✅ 5 - Warriors
✅ 5 - Suns
✅ 4 - Clippers
✅ 4 - Cavaliers
✅ 3 - Mavericks…"
cavaliers,2021-11-09 22:40:28+00:00,#Wizards injury report vs the Cavaliers tomorrow https://t.co/Qxsq4VkCKe
cavaliers,2021-11-09 22:40:23+00:00,"Cavaliers were 5-6 through 11 games last year, 7-4 this year. So better! But also why I’m still a little cautious with believing, despite all the signs being good."
pistons,2021-11-09 22:43:51+00:00,"RT @HarrisonWind: Isiah Thomas, of the Bad Boy Pistons, on the Nikola Jokic-Markieff Morris incident: ""One hit, then another.""

""I don't th…"
pistons,2021-11-09 22:42:45+00:00,"RT @BiasedHouston: Jalen Green on facing Cade Cunningham and the Detroit Pistons tomorrow:

“I’m just thinking of it as another game for us…"
pistons,2021-11-09 22:42:04+00:00,"RT @BallySportsDET: The #Pistons are on the road tomorrow night in Houston.

No. 1 pick vs. No. 2 pick in this year's NBA Draft 👀

Wednesda…"
