team,tweet,label
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"Coming up at 6 w/ @MutWEEI 

▶️ OBJ Watch is on. Should the Pats be in? 
▶️ 2001 feel to this Pats season? 
▶️ Celtics Drama continues 

@Meghan_Ottolini joins in a 7 
@Steve_Perrault RedSox Hot Stove 9 

Your calls and tweets all night @WEEI https://t.co/LCrYab358v",1
celtics,"RT @TDISportsClips: November 9, 2013: Jeff Green (@unclejeffgreen) hits a three over LeBron at the buzzer to give the Celtics a 111-110 win…",1
celtics,Who the f is Thomas lol https://t.co/uWolEgzSQk,0
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"@Ashton46197834 @celtics Borderline allstar, Pretend MVP.   Well if he scored 36 then they would have won.  He takes enough shots to...",0
celtics,@jamesouttapkttt @305WeLive @Bam13GOAT @Visual1232 @Keefmorris Lol keep that same energy hope the Celtics enjoy the play in,0
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,RT @Jaybird335: Me when the Celtics have a Simmons/Richardson/Tatum/Horford/Drummond starting 5 https://t.co/s0cx2SfVoK,1
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"RT @NBAMemes: Sixers: We want Jaylen Brown for Ben Simmons.

Celtics: https://t.co/Nie8dyN4ZB",0
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"Boston Celtics All-Star forward Jaylen Brown is expected to miss 1-2 weeks with a right hamstring strain, according to coach Ime Udoka.",0
celtics,"RT @IHSBCA1: Our thoughts and prayers go out to @CelticProvy , the entire @PCHS_Celtics community and the family of #RJ3.",1
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,Celtics lose top scorer Brown to hamstring injury https://t.co/ZeBw8Cmnkv,0
celtics,Late 1980’s Pistons / Celtics! Two shots for Jokic and side out. https://t.co/RR4Kywruxb,0
celtics,"RT @celtics: 35 years old or 35 years young?

@Al_Horford has been ballin this season. https://t.co/5dsL42oSm8",0
celtics,"RT @celtics: 35 years old or 35 years young?

@Al_Horford has been ballin this season. https://t.co/5dsL42oSm8",0
celtics,"Jaylen Brown has played great this season &amp; last season yet the Celtics aren’t winning much.

Is Brown for Simmons an actual fair trade? I think it may be.",0
celtics,"Best twitter account for each team;
Hawks-@Traruso_SZN 
Celtics-@Tatums_Bacon 
Nets-@PlayboiClaxton
Hornets-@BridgesGotNext 
Bulls-@LaVinesBurner 
Cavs-@SexlandEnjoyer 
Mavs-@daddydoncic 
Nuggets-@BolWrld 
Rockets-@KPJs_Goat 
Detroit-@CadePistons 
Warriors-@WardellPlsWin",1
celtics,"@jamala22 @PlayoffJays_ ok ok, but if you added a contract to the Celtics to make salaries match, maybe add 1 or 2 low value picks to give to the Sixers",0
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"if you are a fan of any of these teams I cannot build with you:

Duke, NC State, Kentucky, cowboys, saints, Buccaneers, Falcons, Cowboys, Celtics. https://t.co/OGmN9DHuq8",0
celtics,@Noah_Sayed529 @celtics Anything for 18,1
celtics,RT @CTGREENTEAMERS: Every Celtics fan,1
celtics,"Ben Simmons trade rumors: Would a Jaylen Brown swap make sense for 76ers, Celtics? : https://t.co/IQ9PVofNzJ https://t.co/yMguBzegUd",1
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"RT @TDISportsClips: November 9, 2013: Jeff Green (@unclejeffgreen) hits a three over LeBron at the buzzer to give the Celtics a 111-110 win…",1
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"RT @NBAMemes: Sixers: We want Jaylen Brown for Ben Simmons.

Celtics: https://t.co/Nie8dyN4ZB",1
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
celtics,RT @CTGREENTEAMERS: Every Celtics fan,1
celtics,"Boston Celtics All-Star forward Jaylen Brown is expected to miss 1-2 weeks with a right hamstring strain, according to coach Ime Udoka.",0
celtics,"RT @IHSBCA1: Our thoughts and prayers go out to @CelticProvy , the entire @PCHS_Celtics community and the family of #RJ3.",0
celtics,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…",1
nets,@Nets_Bets_10 @DutchBoyFresh @PubSportsRadio That's when the dogs bark the most tho,1
nets,"RT @newsbusters: The evening network shows spent an astonishing 2,634 minutes covering the debunked Steele dossier.

They've devoted exactl…",0
nets,RT @JacManuell: Kevin Durant high fiving the Nets only good player tonight: https://t.co/u32dQu1IZK,1
nets,"""Fillings nets and warming hearts""

Proud of you Riley! https://t.co/GLdR6FVJ3N",1
nets,"RT @darrenrovell: A bettor has bet $50,000 at @CaesarsSports on Gonzaga to beat Dixie State tonight. 

If they do, bettor nets $714.30!",1
nets,"RT @DaddyFatStacks8: Brooklyn Nets NEW ERA Tip Off Hat Black

https://t.co/jWgZXDY4Ya

#sponsored #brooklynnets #nba #nets #basketball #kyr…",1
nets,RT @DragonflyJonez: I was always firmly on CP3's side in this debate then Deron got shipped to the Nets and was getting 13 dimes a game wit…,1
nets,RT @LongIslandNets: The Brooklyn Nets have recalled Nic Claxton from the Long Island Nets.,1
nets,"RT @DaddyFatStacks8: Brooklyn Nets Nike On-Court Long Sleeve Black

https://t.co/5xzhZ9sHw8

#sponsored #brooklynnets #nba #nets #basketbal…",1
nets,RT @JSZ_Sports: ⚽️ A golden ticket to the final! Juliet Walls nets a golden goal in double overtime as Haddonfield tops rival West Deptford…,1
nets,"RT @MGNewsGH: Frightening! Police raid in Kumasi nets biggest gun haul, at least 4 arrested https://t.co/X5V6O0Dpof https://t.co/g1dmdOTEX0",0
nets,RT @ESPNNBA: Zo found his way through the entire Nets defense for the lay 😳 https://t.co/fmlAcQOhBL,1
nets,"Okc under 11/10

Brooklyn nets UNDER 11/17.  11/19

Fade lakers 11/12.  11/14  &amp;  11/26

Denver nuggets UNDER ⬇️ 11/8 * lost*
11/10.   11/12.   &amp;  11/18. 

Philadelphia 76ers cover 11/18. 11/20. 11/22.  &amp;  11/24

*this is my third nba list* my first two went 62% and 64% https://t.co/Dn7pe54XZl",1
nets,@silanesafety I’m hitting them with nets but they don’t want to leave yet I’m sick of their shit!!!,0
nets,RT @GCDickens: Why won't @ABCWorldNews @CBSEveningNews @NBCNightlyNews cover Steele dossier developments any more? Embarrassed?  https://t.…,0
nets,RT @GCDickens: Why won't @ABCWorldNews @CBSEveningNews @NBCNightlyNews cover Steele dossier developments any more? Embarrassed?  https://t.…,0
nets,"⚽️ A golden ticket to the final! Juliet Walls nets a golden goal in double overtime as Haddonfield tops rival West Deptford in a thriller to reach the Group 2 South final.

FULL highlights + reaction coming tonight to JSZ!

@dawgs_wsoccer @HMHSathletics @Julietwalls22 https://t.co/jeqDvNGQi6",1
nets,"fuck the nuggets, fuck the nets, fuck the c’s and fuck the refs https://t.co/qnJ7j9szrP",0
nets,"Best twitter account for each team;
Hawks-@Traruso_SZN 
Celtics-@Tatums_Bacon 
Nets-@PlayboiClaxton
Hornets-@BridgesGotNext 
Bulls-@LaVinesBurner 
Cavs-@SexlandEnjoyer 
Mavs-@daddydoncic 
Nuggets-@BolWrld 
Rockets-@KPJs_Goat 
Detroit-@CadePistons 
Warriors-@WardellPlsWin",1
nets,RT @GCDickens: Why won't @ABCWorldNews @CBSEveningNews @NBCNightlyNews cover Steele dossier developments any more? Embarrassed?  https://t.…,0
nets,"RT @JoshGBuck: Nikola Vucevic’s effort in the 4Q vs BK is a good sign for the #Bulls
https://t.co/3o1UqM6r4o",1
nets,"RT @SolanaStudClub: PRESALE VIBES 😎

DM us 'STUD' TO GET 3 FREE STUDS WHEN YOU MINT 1!

0.3 $SOL Nets you 4 SolStuds 🤝

Join the Club: http…",1
nets,Great to see my nearest club  @Walsham_Warbler continuing to make improvements with new goals. The nets were certainly tested out tonight ! #lovenonleague https://t.co/pNVS8GENmO,1
nets,@Corey9875 @riche_01 @Runthroughthet1 @baby_face_goat @BullsGotNext You came out of the closet when you became a nets fan,1
nets,"RT @JoshGBuck: Nikola Vucevic’s effort in the 4Q vs BK is a good sign for the #Bulls
https://t.co/3o1UqM6r4o",1
nets,"RT @JoshGBuck: Nikola Vucevic’s effort in the 4Q vs BK is a good sign for the #Bulls
https://t.co/3o1UqM6r4o",1
nets,RT @JSZ_Sports: ⚽️ A golden ticket to the final! Juliet Walls nets a golden goal in double overtime as Haddonfield tops rival West Deptford…,1
nets,"RT @MGNewsGH: Frightening! Police raid in Kumasi nets biggest gun haul, at least 4 arrested https://t.co/X5V6O0Dpof https://t.co/g1dmdOTEX0",0
nets,"RT @MGNewsGH: Frightening! Police raid in Kumasi nets biggest gun haul, at least 4 arrested https://t.co/X5V6O0Dpof https://t.co/g1dmdOTEX0",0
nets,RT @ESPNNBA: Zo found his way through the entire Nets defense for the lay 😳 https://t.co/fmlAcQOhBL,1
nets,@silanesafety I’m hitting them with nets but they don’t want to leave yet I’m sick of their shit!!!,0
nets,RT @GCDickens: Why won't @ABCWorldNews @CBSEveningNews @NBCNightlyNews cover Steele dossier developments any more? Embarrassed?  https://t.…,0
nets,"⚽️ A golden ticket to the final! Juliet Walls nets a golden goal in double overtime as Haddonfield tops rival West Deptford in a thriller to reach the Group 2 South final.

FULL highlights + reaction coming tonight to JSZ!

@dawgs_wsoccer @HMHSathletics @Julietwalls22 https://t.co/jeqDvNGQi6",1
nets,"fuck the nuggets, fuck the nets, fuck the c’s and fuck the refs https://t.co/qnJ7j9szrP",0
nets,"Ovechkin nets No. 741, knots Hull for 4th all-time https://t.co/c440PiJg9E",1
nets,RT @ainissaramirez: Mend your nets in the down time.,1
nets,"The Nets (7-4) look good against lesser competition, but when the playing field is even, there is still much work to be done. @Krisplashed breaks it down. https://t.co/0ygulevhqj",0
nets,"The Nets (7-4) look good against lesser competition, but when the playing field is even, there is still much work to be done. @Krisplashed breaks it down. https://t.co/0ygulevhqj",0
nets,RT @LongIslandNets: The Brooklyn Nets have recalled Nic Claxton from the Long Island Nets.,1
nets,Trevor Lawrence or Zach Wilson will soon ask for a doctor stoppage but it doesn’t feel like Nets-Clippers.,1
knicks,@Nigellas_Knicks @dawbes Holy shit! So glad he's ok,1
knicks,RT @MarcJSpears: Knicks star Julius Randle visited the Earl Monroe New Renaissance Basketball School in the Bronx today to announce his #30…,1
knicks,RT @ScottieBurner: @NBA @nyknicks A fully healthy Knicks barely beat a Embiid Tobi and Simmonsless Sixers😭,1
knicks,@TVG @BreedersCup Love Knicks Go very much.He is my buddy. So proud of him❤Great article!,1
knicks,"RT @thelatkeroom: TOMORROW... @BingBongGuy/ @BuildYourBoys 
 
🚨EPISODE 96 Ft. Jordie Bloom🚨

✡️ The Birth of Bing Bong
✡️ Build Your Boys…",1
knicks,@Toebald1 @TrxppeBosstar3 @Chemo_M @TheRealTacko @6ersFuckingSuck @NBA @J30_RANDLE @RjBarrett6 @nyknicks Hey sh*thead. Pay attention. The guy who I was originally talking too was a jets Knicks Mets fan.,0
