,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,mean,median,range,variance,stdev
data processing time (s),261.80344009399414,261.94695115089417,261.747435092926,267.24527883529663,281.40850806236267,266.8303226470947,261.94695115089417,19.661072969436646,71.91207247523808,8.480098612353402
logistic regression fit time (s),12.077702045440674,13.137208223342896,13.429786205291748,13.665489912033081,12.601349115371704,12.98230710029602,13.137208223342896,1.5877878665924072,0.4136024882823392,0.643119342177126
logistic regression f1,0.7754043584424168,0.7756888822337601,0.776624233189717,0.7756871795263676,0.774643194483079,0.7756095695750681,0.7756871795263676,0.0019810387066380164,5.044621201607128e-07,0.0007102549684167741
logistic regression accuracy,0.770621875,0.77061875,0.77139375,0.7706734375,0.769615625,0.7705846875,0.770621875,0.0017781249999999638,4.010209960937315e-07,0.0006332621859022782
naive Bayes fit time (s),0.4435746669769287,0.45168399810791016,0.45126986503601074,0.4563620090484619,0.4810211658477783,0.45678234100341797,0.45168399810791016,0.03744649887084961,0.0002046301133873385,0.014304898230583065
naive Bayes f1,0.7531826085865753,0.7588851306898661,0.7595285985701875,0.7589901815461394,0.7576855263280211,0.7576544091441578,0.7588851306898661,0.0063459899836122435,6.7023794858837175e-06,0.00258889541810474
naive Bayes accuracy,0.7540453125,0.7566265625,0.7573421875,0.7568734375,0.755628125,0.756103125,0.7566265625,0.003296875000000088,1.715715332031348e-06,0.001309853171936209
random forest fit time (s),184.8829209804535,190.48978304862976,194.08321690559387,191.2142550945282,182.80092120170593,188.69421944618225,190.48978304862976,11.28229570388794,21.968220532531905,4.687026832922115
random forest f1,0.7499826155486532,0.7498177412233414,0.7498394792283938,0.7506316394747082,0.7488515482669347,0.7498246047484063,0.7498394792283938,0.0017800912077735598,4.058449341792642e-07,0.0006370596001782441
random forest accuracy,0.73034375,0.7335078125,0.7315359375,0.7316625,0.729890625,0.731388125,0.7315359375,0.003617187499999952,1.9808576660156006e-06,0.0014074294532997384
