Team,Date,Tweet
76ers,2021-11-09,"11/9 NBA:

Bucks/76ers u215.5 -110
Jazz -8 -115
Blazers/Clippers u221 -105"
76ers,2021-11-11,"RT @itsjustjules_: if we lose to the 76ers tmrrw without embiid, simmons, tobias and thybulle i will cry"
76ers,2021-11-12,@csc54717479 @Rev3Thetrue @myasswet @Tommyboy833 @HoopsReference He became the best defender in the league. A top 5 facilitator in the league. 3x all star. 2x defensive first team. NBA steals leader. Mind you carrying the 76ers whenever Mr. Glass gets hurt. If Mr. Glass was a good teammate and Doc didn't blow 3-1 leads then we wouldn't be here
76ers,2021-11-13,"@okcthundergal It has been a My Pleasure to have (virtually) known you ! 
Being from Philly, I still follow (3 out of 4) Philly Sports Teams, with the Exception being the 76ers, replaced by OKC Thunder !
Perhaps we will Tweet together during this Season's Thunder Games"
76ers,2021-11-14,76ers assistant Dave Joerger stepping away for cancer treatment – NBA News https://t.co/AikaOeULmx
76ers,2021-11-15,Denver Nuggets vs Philadelphia 76ers is on Sky Sports Arena UK HD. With commentary from Chris Marlowe. Co-commentator is Scott Hastings. Reporter is Katy Winge.  For more details see https://t.co/EyP35RIL2Y #DenverNuggets #Philadelphiaers #SkySportsArenaUKHD
76ers,2021-11-16,"So many great basketball games today:

NBA-
Nets vs Warriors @ 6:30 (Central Time)
Jazz vs 76ers @ 9

College-
#15 Houston vs Virginia @ 7
#4 Michigan vs Seton Hall @ 8
#12 Oregon vs BYU @ 9 https://t.co/VvSYSpAg1P"
76ers,2021-11-17,@nina_alston the 76ers lost  the game last night.  There was no  Ben Simmons  and no Joel embiid  not playing  last night 120 to 79 that
76ers,2021-11-19,Coach Michael Malone ejected in Nuggets’ humbling loss to 76ers https://t.co/mel8kc1e3g
76ers,2021-11-20,"Charlotte Hornets - Atlanta Hawks
Maçı Kazanan - W2

Philadelphia 76ers - Portland Trail Blazers
Maçı Kazanan - W2

Memphis Grizzlies - Minnesota Timberwolves
Maçı Kazanan - W2"
76ers,2021-11-23,"RT @YahooSportsbook: Parlay these NBA games 👀

Bulls (-125) vs Pacers (+105)
Magic (+600) vs Bucks (-900)
Suns (-225) vs Spurs (+180)
76ers…"
76ers,2021-11-24,"RT @sixers: Hard work pays off.

From intern to Assistant GM, Vince Rozman discusses his unique journey with the 76ers, and has proven hims…"
76ers,2021-11-25,How did the 76ers lost by 20 after leading by 20? Reminds me of the 2016 Rockets. 💀💀
76ers,2021-11-26,"@kolozone @whatgives1313 Dr. J was poetry on the court. I got to see him a bunch of times every year when the Nets played at Rutgers and 76ers came to town, when I was  student there."
76ers,2021-11-27,"@rlw380 @OhFasho_Dood @CostelloForSix @Dwizzy1997 @FilaEli @AdamSchefter They don’t support him , they just don’t want the back lash! Look at the 76ers they’re telling Simmons to come see their DRs or kick rocks. This is the new way for athletes to get out of playing when they don’t like their situation."
76ers,2021-11-28,"Embiid returns from COVID, drops 42 in 2OT loss https://t.co/Sh2KzvS0k1"
76ers,2021-11-29,"RT @SMASEY: Hi all, my car was stolen from in front of my house Sunday night in Flourtown. It's a Hyundai Accent hatchback, metallic medium…"
76ers,2021-11-30,The Clippers and 76ers need to reach out https://t.co/75PtYwkZb6
76ers,2021-12-01,"Jaylen Brown is active for #Celtics #76ers: played 27 minutes last 2 games. Now has leeway to go 32, with longer rotations, and can go longer if needed to win the game."
blazers,2021-11-09,"RT @BrasilClippers: HORA DO BOLÃO.

Quem acertar os pontos, rebts e assists do Paul George hoje contra o Blazers leva uma Jersey.

- Tem qu…"
blazers,2021-11-11,WTF IS GOOD BLAZERS
blazers,2021-11-12,"@burban192 @dxmbgoose @psports__ @Lacey12720 @wk2trey @WorldWideWob Aw, you’re still mad since your blazers are ass /:"
blazers,2021-11-13,@jovanbuha AY NO SHIT @AntDavis23 YALL SAID THIS AGAINST THE BLAZERS AND WHAT TF YALL DO ONE GAME LATER FUCK AND F CHIP YALL NOT MAKING IT PAST THE SECOND ROUND THE WARRIORS DESTROYING YALL WITH OR WITHOUT KLAY
blazers,2021-11-14,"Trail Blazers GM #NeilOlshey reportedly fighting to keep job

More news: https://t.co/StDa53BKIq

 #NBA #basketball https://t.co/QQMCp2vMAs"
blazers,2021-11-15,RT @AaronJFentress: Blazers coach Chauncey Billups just hinted toward potential lineup changes of some sort if he keeps seeing a lack of ef…
blazers,2021-11-16,Comme l'impression qu'on va entendre parler des Raptors et Blazers https://t.co/gJpth1zC5x
blazers,2021-11-17,Trail Blazers Game Notes: Chicago Bulls (10-4) vs. Portland Trail Blazers (7-8) – NBA News https://t.co/YzlVsNTXJJ
blazers,2021-11-19,"RT @OregonianSports: Blazers’ Nance’s work ethic a hit with fans, teammates https://t.co/d8Nj6kxLZp https://t.co/pnjH8KCoPk"
blazers,2021-11-20,"Blazers finish the 3rd quarter with a 10 point lead over Pembroke Hill. 

Score sits at 46-36!"
blazers,2021-11-23,"@ffogSZN @CornetaRavens comecei a gostar por conta de ser o mesmo proprietario do blazers, mas curto o lamar pra caralho"
blazers,2021-11-24,"RT @wojespn: Denver’s beset with injuries, and Dozier has played a significant role off the bench. Nuggets have lost five straight. Dozier…"
blazers,2021-11-25,@BigDudeSpittin @ProtestaBloc @dwightjaynes False you must not have watched the blazers for long
blazers,2021-11-26,@JackoRugby @Cardiff_Rugby @dragonsrugby @ospreys @scarlets_rugby She probably tired of the blazers holding back professional rugby.
blazers,2021-11-27,SportsCenter  dice: #Video ¡DE LA MANO DE CURRY! No te pierdas lo mejor de la victoria 118-103 de los Warriors contra los Blazers en la… https://t.co/sAUEDwLMRf #27Nov #Noticias Barinas #GeneraciónDeOroEnCali #SiguemeYTeSigo #SiguemeYTeSigoDeVuelta
blazers,2021-11-28,"@CeddyOrNot aih same, i have all the fancy blazers in the wardrobe collecting dust

dunno when to wear and most of my blazer agak tebal :/"
blazers,2021-11-29,"RT @UABTransport: BLAZERS: Parking permits for Spring 2022 go on sale this Wednesday, December 1st. Don't delay! https://t.co/GyuQejLNdl"
blazers,2021-11-30,"@notslicka_333 @JMontelly @uhallgrovetop Exactly.  Otherwise if Dame catches heat together with CJ being decent, Mavs would have trouble beating Blazers. Unless KP remains healthy &amp; consistent in production."
blazers,2021-12-01,"RT @ShamsCharania: Trail Blazers’ Damian Lillard will miss at least 10 days with lower abdominal tendinopathy, team says."
bucks,2021-11-09,@DxmarionS Im not loaded with money pal. You want v bucks ask your parents
bucks,2021-11-11,@SpectroFluff Bro I aint paying 99 or 119 bucks for battlefield.  Rather take standard cuz ay. U lose money but luckily its nowhere near the 100s
bucks,2021-11-12,"@JoshMandelOhio I know where you can pick up a few bucks after you lose the election, Josh. They're always willing to pay some clown that's willing to make a fool of himself. https://t.co/3WrOoqdnQa"
bucks,2021-11-13,"@Shibby372 @donovanbush20 @baldheaded1der I don't see Rosario getting big bucks until he produces for an entire season without getting hurt. Same with Soler - remember,  he was hitting .190 for KC. He and Joc prolly increased their paydays a bit from postseason play, but not much. But some team might pay Soler a lot. 🤷‍♂️"
bucks,2021-11-14,"People who think NFTs are stupid because you can “screenshot it”.

Most of the “art” you buy is a “print” of the original hence why it’s only 20 or 50 bucks instead of $10k for the original. 

Your argument is fucking dumb and you look like a douche."
bucks,2021-11-15,RT @fenrir_71: Things are pretty bad here y'all. Our only vehicle is down and we've got plumbing issues and I'll likely have to call a pro.…
bucks,2021-11-16,"@ProTheDoge I think the more you talk, deeper your grave goes, dude. You might be making some good bucks out of these sponsorships and showing your face everywhere, but c’mon, don’t let it ruin your character. Peace!"
bucks,2021-11-17,Exactly why I got my 90 bucks back https://t.co/wKXBL80y0Y
