Team,Date,Tweet
76ers,2021-11-09,2 great rebuild jobs from Carolina n NC St. I tell folks couple older HOF type coaches swore Dawn was paying kids when they started to break thru. Nope but the SC 76ers really coming to forefront was important.
76ers,2021-11-11,"RT @NBACobwebs: November 10, 1989: The Timberwolves get their first win in franchise history, a 125-118 overtime victory over Philadelphia…"
76ers,2021-11-12,"RT @ShamsCharania: Rich Paul: “I truly believe the fines, the targeting, the negative publicity shined on the issue — that’s very unnecessa…"
76ers,2021-11-13,"RT @SirOverUnder: 🏀NBA 11/13 PLAYS🔥

Heat @ Jazz o213.5 (-110) 1u
76ers @ Pacers u214.5 (-110) 1u

Pistons +9.5 (-110) 1u

76ers ML (+135)…"
76ers,2021-11-14,"RT @HukAleksandra: It's unreal how @cryptocom is focusing on marketing. Shit, the company has teamed up with Matt Damon, The UFC, Paris Sai…"
76ers,2021-11-15,"“When you are named the NBA’s greatest team for the first 35 years, and to be from the city of Brotherly Love and bring them a championship, it was everything to the city."" 

This @CjHolmes22 feature on the 1966-67 Sixers championship team is excellent. 

https://t.co/DfqkWhLCRj"
76ers,2021-11-16,"RT @JazzNationNews: 🎟  JAZZ TICKETS GIVEAWAY 🎉

we’ve teamed up with @WasatchIT to giveaway a pair of Jazz 76ers tickets 👍
to enter …
1) fo…"
76ers,2021-11-17,"RT @JasonYanowitz: Crazy watching @cryptocom execute a $1 billion sports marketing campaign.

1) PSG – $30m 3yr 

2) UFC – $175m 10yr 

3)…"
76ers,2021-11-19,"RT @LegionHoops: REPORT: The 76ers and Pistons have discussed a trade that would send Ben Simmons to Detroit and Jerami Grant, a young play…"
76ers,2021-11-20,@LaVinesBurner Good fit on the 76ers
76ers,2021-11-23,"76ers vs Kings: Preview, Prediction and Betting Picks  https://t.co/j4w4QImZII"
76ers,2021-11-24,"RT @sixers: last stop of our West Coast tour!

🕙10:00PM
📺@NBCSPhilly+, @ESPN
📻@975TheFanatic
🎙️https://t.co/7sb9wVPhTd…"
76ers,2021-11-25,Warriors de Stephen Curry baten a 76ers de Seth Curry 116-96 https://t.co/Niw9c3b2Sq a través de @larevistadiariard https://t.co/cbK0xFyNKb
