Team,Date,Tweet
76ers,2021-11-09,And how many times did the #76ers beat rudderless #Knicks squads in the past? Right. https://t.co/MrVvIUtPlb
76ers,2021-11-11,"olha
amanhã o 76ers vai fazer nosso garrafão sangrar"
76ers,2021-11-12,"@CombatChr I don't think Rich screwed up. I think Ben is just spoiled, stubborn and arrogant. And Morey and the 76ers look stupid. They are a clown organization now. Any other team would have just traded Ben."
76ers,2021-11-13,I wanna go to a 76ers game☹️
76ers,2021-11-14,Philadelphia 76ers top assistant Dave Joerger stepping away to undergo treatments for cancer https://t.co/Xyoq5ORl2H
76ers,2021-11-15,11) Philadelphia 76ers https://t.co/X5Ii31fBfA
76ers,2021-11-16,"well… for anyone thinking hal greer will get base 98, i just loaded into a myleague with the all time 76ers (via custom league), and i checked his animations and it shows this, it’s still chicken tho ive tried it in freestyle with him https://t.co/OawpUbi77B"
76ers,2021-11-17,The 76ers being stupid af not trading Ben Simmons
76ers,2021-11-19,"Maxey, Curry deliver as Embiid-less Sixers shackle Jokic in second half  

https://t.co/qdm3cFLhu7"
76ers,2021-11-20,"Agr que tô reparando, a Conferência Leste tá MUITO forte!

Times competitivos da Conferência Leste:
Brooklyn Nets 🗽
Miami Heat 🔥
Chicago Bulls 🐃
Milwaukee Bucks🦌
Washington Wizards 🧙‍♂️ 
Boston Celtics 🍀
Atlanta Hawks 🦅
Philadelphia 76ers 💙
Charlotte Hornets 🐝 https://t.co/iOF8C7QNRt"
76ers,2021-11-23,@CherylCoppola3  Do you like Philadelphia 76ers ? 10 and half in Japan . not shoe size of Philadelphia 76ers players .
76ers,2021-11-24,"ブルズには
スーパーマンとバッドマンとロッドマンがいる
-シャロン・ライト-(元76ers#6)
#NBA名言"
76ers,2021-11-25,"Happy Thanksgiving 🦃 from your friends at VIDGO! Looking for @NBA Hoops today? 
🏀Brooklyn Nets at Boston Celtics, 7:30 pm, @espn 
🏀Philadelphia 76ers at Golden State Warriors, 10 pm, @espn"
76ers,2021-11-26,"RT @Bballforeverfb: Ben Simmons is reportedly going broke due to extensive fines, withheld payments and outrageous spending habits which in…"
76ers,2021-11-27,RT @McGuireTipping: Back PHILADELPHIA 76ERS to BEAT Minnesota Timberwolves tonight in the @NBA (Game Starts at 23.10 GMT) #NHL #IceHockey
76ers,2021-11-28,"🏀 Minnesota Timberwolves (@Timberwolves) #RaisedByWolves 
🆚 W 121-120 @ Philadelphia 76ers #HereTheyCome #MINvsPHI
✈️ N651DL | DAL8933 | B752
🛫 PHL - 11:11 pm ET
🛬 MSP - 12:34 am CT
📡 Tracking: https://t.co/8rJY7QF2cy https://t.co/ygUbFF2VRG"
76ers,2021-11-29,@DexAintDead And why the hell would the rockets give up picks to move him? That’s like telling the 76ers to give up picks to move Ben who are in a much more toxic situation.. atleast Houston is doing John Good.. no need to mess with our future tho for him 🤦🏼‍♂️
76ers,2021-11-30,"Congratulations to @iFlaccoTV and @iM_xTopGuard on each being awarded a Prospect Badge and becoming @NBA2KLeague draft eligible after competing in our 76ers GC tournaments benefiting @ChildrensPhila!

#HereWeCome"
blazers,2021-11-09,"🤑 IT’S 3x2 NIGHT 🤑

We’re rocking with the 3x2 for Blazers-Clippers tonight

Drop your tickets below if you’re riding with us ⬇️ (@FDSportsbook) https://t.co/hE428omO0Q"
blazers,2021-11-11,Blazers keep giving up offensive rebounds
blazers,2021-11-12,"Blazers
@karlaser19 @faviana_fabiana
https://t.co/XDurSenWs1 https://t.co/0iiAKkpYCj"
blazers,2021-11-13,@teamlobsterz @mikeygrogins_ @unassigned471 @5YearsNoPlayoff @statmuse do you see the blazers rn
blazers,2021-11-14,"▶️Watch ALL NBA Basketball Games Live Free &amp; FULL HD✅
https://t.co/xB3eC2MzKP
#NBA #NBA75 #nfl nfl football sunday #NBA2K22 portugal, ronaldo #portugal #NetsWorld #Okcthunder #Thunder #Oklahoma #ThunderUp #Portland #Blazers #trailblazers #RipCity #WeTheRipCity #Denver #Nuggets"
blazers,2021-11-15,"unwilling to settle on No AWD and none of the dealerships around here have AWD Blazers in stock (because Florida is hot and flat), so looks like we'll be doing the Online Car Purchase Thing... vroom has a good match, carvana too, so... idk"
blazers,2021-11-16,Comme l'impression qu'on va entendre parler des Raptors et Blazers https://t.co/gJpth1zC5x
