Team,Date,Tweet
76ers,2021-11-09,"#NBA - Who covers the spread?

#Bucks -5½
#76ers +190
O/U 218

#Hawks +280
#Jazz -8
O/U 222

#Trailblazers +125
#Clippers -3
O/U 220½ https://t.co/8nKB5gGojg"
76ers,2021-11-11,@senatordisco @yerinami The 76ers look fine without him honestly he needs to go to the Wolves imo imo
76ers,2021-11-12,"Fred VanVleet was determined to will his Raptors teammates to a bigger effort. He wouldn’t let go of the rope and, eventually, they joined him. (@michaelgrange)

https://t.co/6zMkOsFfHA"
76ers,2021-11-13,"RT @Kits_Shop: Philadelphia 76ers Nba Kit

For Simmons

Phone/WhatsApp:08039562419
Telegram:https://t.co/aa7W48b3ZK
​Pls Send DM/ https://t…"
76ers,2021-11-14,"RT @HukAleksandra: It's unreal how @cryptocom is focusing on marketing. Shit, the company has teamed up with Matt Damon, The UFC, Paris Sai…"
76ers,2021-11-15,RT @NBA: Get your @sixers Nike NBA City Edition Jersey NOW ➡️ https://t.co/m5cabCVoe5 https://t.co/r2lZWJil3t
76ers,2021-11-16,"RT @TheAthletic: Ben Simmons has been fined by the 76ers for failing to travel on their six-game road trip, sources tell @ShamsCharania.…"
76ers,2021-11-17,RT @RooshWilliams: The Process 76ers started the 2015-2016 season with a 1-30 record
76ers,2021-11-19,"RT @LegionHoops: REPORT: The 76ers and Pistons have discussed a trade that would send Ben Simmons to Detroit and Jerami Grant, a young play…"
76ers,2021-11-20,Trail Blazers Game Notes: Philadelphia 76ers (9-7) vs. Portland Trail Blazers (8-8) https://t.co/acx7jedThI https://t.co/gQHXDxR0xp
76ers,2021-11-23,"Damian Lillard point total vs the 76ers:
39 points 🔥🔥🔥

Goat 🐐"
76ers,2021-11-24,"RT @Splashbrosbr: Gameday!

Warriors vs 76ers

📍Chase Center (São Francisco)
🏥 Klay, Wiseman e Iggy não jogam
⏰ 00:00 no Brasil e 3:00 em P…"
76ers,2021-11-25,"RT @NBCSWarriors: ""He’s the guy you put out there.""

The Warriors wisely called on JTA in a ""dogfight"" win over the Sixers (via @MontePoole…"
76ers,2021-11-26,"RT @NBCSWarriors: ""Proud, proud brother.""

Steph Curry couldn't help but praise Seth Curry after the Warriors' win over the 76ers https://t…"
76ers,2021-11-27,"#ForSale Allen Iverson Lots of 3 listed on #eBay - see link in bio 

Allen Iverson Lot (3) 1997 SkyBox Premium, 2002 Ovation, 2004 Luxury Box 76ers

Allen Iverson Lot (3) 1997 NBA Hoops, 1997 Z-Force, 1998 UD Choice 76ers

Allen Iverson Lot (3) 1997-98 Stadium Club, 1999-00 … https://t.co/EVUSgFyzCz"
76ers,2021-11-28,Joel Embiid likely back as 76ers square off with Bulls - Reuters https://t.co/dAEOXsh7dd https://t.co/v8A9Js77W6
76ers,2021-11-29,"12- Philadelphia 76ers e Botafogo

São dois times que os torcedores já estão véios e cansados de tanta humilhação, e hoje em dia tão se cagando de medo de perder seus atacantes(Rafael Navarro e Joel Embiid). https://t.co/aysDjzZB4a"
76ers,2021-11-30,RT @76ersGC: Congratulations to @iFlaccoTV and @iM_xTopGuard on each being awarded a Prospect Badge and becoming @NBA2KLeague draft eligibl…
blazers,2021-11-09,"RT @ChadinRipCity: Join me today @RipCityRadio620 
3:00 PM- blazers ticket giveaway
3:20 PM- @dandickau21 on Olshey
4:00- blazers ticket gi…"
blazers,2021-11-11,Nassir Little es un jugador de esos con 90 de overall creado por Santii Blazers en el 2k que magicamente cobró vida para el partido de hoy contra los Suns
blazers,2021-11-12,"RT @MrRoss_RVHS: It’s GAME DAY Blazers‼️

Get Active and let’s #BeatHillcrest

@RidgeViewF_Ball @RidgeViewSports  @rvhs @CoachHowardII @Ric…"
blazers,2021-11-13,"He is Larry Miller, now 72, a former team president of the Portland Trail Blazers and the head of the Michael Jordan brand at Nike. He kept the secret of his murderous past for more than half a century, revealing it in a recent Sports Illustrated interview and a forthcoming book. https://t.co/0OxHG24IkT"
blazers,2021-11-14,RT @ChrisBHaynes: Yahoo Sources: Portland Trail Blazers launch investigation into GM Neil Olshey with staffers alleging a 10-year toxic hos…
