Team,Date,Tweet
76ers,2021-11-09,"RT @theplayoffsbr: #NBA: Quem vai pagar o preço?

https://t.co/f2SkBs72i7"
76ers,2021-11-11,"@AaronTorresPod Quit on LSU, quit on 76ers. Big team guy."
76ers,2021-11-12,".@mcauz56 on the big announcement, Raptors big win over the 76ers and more! #FirstUp https://t.co/fFC4Ng4L6m"
76ers,2021-11-13,RT @RTNBA: Ben Simmons believes that the 76ers fining him is worsening his mental health. Per @ShamsCharania https://t.co/go4jcOjsfW
76ers,2021-11-14,@Charlie1337420 76ers and Elon.   Bullish
76ers,2021-11-15,"RT @statmuse: These were the Bulls last 8 opponents:

Jazz
Celtics
76ers
76ers
Nets
Mavs
Warriors
Clippers

They are 5-3 in that span despi…"
76ers,2021-11-16,"RT @Ballislife: 33 years ago today, Michael Jordan had this ridiculous line vs the 76ers: 

52 PTS
24/29 FG 🔥
9 REB
4/4 FT
4 STL
2 BLK
1 AS…"
76ers,2021-11-17,76ers couldn't even  score 90 points... 🥱
76ers,2021-11-19,Infobae | Maxey y 76ers vencen a Nuggets y cortan mala racha https://t.co/qBQQwE7YP3 https://t.co/zGGC3Rz2k5
76ers,2021-11-20,"I believe there is a psychological component to what is happening with Ben Simmons compounded by the actions of the Philadelphia 76ers organization.

I believe Ben Simmons deserves every penny of his money back."
76ers,2021-11-23,"Cavaliers vs Brooklyn Nets
Wizards vs Hornets
Celtics vs Rockets
Hawks vs Thunder
Bucks vs Magic
Bulls vs Pacers
Pelicans vs  Timberwolves
Tampa Bay Buccaneers v Giants
WWE Monday Night Raw
Spurs vs  Suns
Jazz vs Grizzlies
Kings vs 76ers
NBA  LINK.https://t.co/sbLZ82tqwc..."
76ers,2021-11-24,"Tonight's NBA Wednesday double-header: 

Brooklyn Nets @ Boston Celtics tonight at 7:30pm ET on ESPN. 

Philadelphia 76ers @ Golden State Warriors tonight at 10pm ET on ESPN. https://t.co/klMcQ5HEHv"
76ers,2021-11-25,"Gente, eu fui dormir com o Golden State perdendo por 15 pontos no fim do 2º quarto e fui olhar agora e os caras viraram e meteram 20 pontos de diferença pro 76ers. Brabos!"
76ers,2021-11-26,"RT @76ersPride: 📊📊📊 P O L L 📊📊📊
Si sono giocate appena una ventina di partite, ma già sono emersi tanti temi in questa stagione per noi.
Og…"
76ers,2021-11-27,@NBAAnswer25 Brooklyn X Miami X 76ers victoire
76ers,2021-11-28,76ers' Joel Embiid on COVID-19 Diagnosis: 'I Thought I Wasn't Going to Make It' - Bleacher Report https://t.co/XC9cNvXXM8
76ers,2021-11-29,"Completa tu Súper Parlay con los partidazos de la NBA 🏀

📌 19:20 Orlando Magic (+770) vs Philadelphia 76ers (-1233)

📌 19:50 Denver Nuggets (+270) vs Miami Heat (-335) https://t.co/7yCVutGu50"
76ers,2021-11-30,RT @76ersGC: Congratulations to @iFlaccoTV and @iM_xTopGuard on each being awarded a Prospect Badge and becoming @NBA2KLeague draft eligibl…
76ers,2021-12-01,Hoje há PHILADELPHIA 76ers vs Boston Celtics. #NBA75 https://t.co/0rH6PDDkZG
blazers,2021-11-09,Los Angeles Clippers vs. Portland Trail Blazers: ¿Cuándo y a qué hora ver en vivo la NBA? https://t.co/9UOapgSuak
blazers,2021-11-11,"Me, snobby Suns fan: The Blazers will never go far with guards as their two best players"
blazers,2021-11-12,Good Quality Navy Blue Blazers For Women https://t.co/cv0t6kTOwJ https://t.co/gzmwL7nlaF
blazers,2021-11-13,@nilamadison Would you please host a #Blazers pre or post game Twitter spaces?
blazers,2021-11-14,RT @BowenGavyn: 100% Committed! Go Blazers🐉🔥 https://t.co/ainIYJE3vx
blazers,2021-11-15,"RT @UFBA_Wolves: PJ had it going from deep in 21 minutes against the Blazers in a blowout win! @Dozier_Kid

Our player of the night, sponso…"
blazers,2021-11-16,RT @WorldWideWob: “Name That Song” with the Portland Trail Blazers https://t.co/g1lxEUhIof
