Team,Date,RF Positive,RF Negative,NB Positive,NB Negative,LR Positive,LR Negative
76ers,2021-11-09,110,10,96,24,95,25
76ers,2021-11-11,81,19,65,35,57,43
76ers,2021-11-12,79,21,83,17,80,20
76ers,2021-11-13,83,17,64,36,70,30
76ers,2021-11-14,75,25,76,24,74,26
76ers,2021-11-15,99,1,85,15,91,9
76ers,2021-11-16,86,14,80,20,83,17
76ers,2021-11-17,85,15,89,11,88,12
76ers,2021-11-19,81,19,66,34,72,28
76ers,2021-11-20,89,11,65,35,74,26
76ers,2021-11-23,97,3,67,33,74,26
76ers,2021-11-24,96,4,76,24,93,7
76ers,2021-11-25,91,9,77,23,77,23
76ers,2021-11-26,78,22,66,34,66,34
76ers,2021-11-27,90,10,64,36,74,26
76ers,2021-11-28,91,9,72,28,90,10
76ers,2021-11-29,72,28,64,36,53,47
76ers,2021-11-30,94,6,86,14,89,11
76ers,2021-12-01,88,12,69,31,78,22
blazers,2021-11-09,109,11,93,27,87,33
blazers,2021-11-11,82,18,59,41,68,32
blazers,2021-11-12,91,9,78,22,87,13
blazers,2021-11-13,85,15,76,24,74,26
blazers,2021-11-14,95,5,82,18,79,21
blazers,2021-11-15,85,15,70,30,73,27
blazers,2021-11-16,88,12,76,24,78,22
blazers,2021-11-17,91,9,83,17,83,17
blazers,2021-11-19,80,20,76,24,75,25
blazers,2021-11-20,94,6,63,37,78,22
blazers,2021-11-23,91,9,77,23,81,19
blazers,2021-11-24,81,18,78,21,79,20
blazers,2021-11-25,92,8,79,21,88,12
blazers,2021-11-26,94,6,88,12,80,20
blazers,2021-11-27,92,8,91,9,92,8
blazers,2021-11-28,97,2,89,10,92,7
blazers,2021-11-29,100,0,88,12,94,6
blazers,2021-11-30,90,10,68,32,65,35
blazers,2021-12-01,60,40,47,53,50,50
bucks,2021-11-09,96,24,86,34,94,26
bucks,2021-11-11,91,9,70,30,84,16
bucks,2021-11-12,75,25,67,33,71,29
bucks,2021-11-13,79,21,60,40,64,36
