Team,Date,Tweet
76ers,2021-11-09,"#NBA - Who covers the spread?

#Bucks -5½
#76ers +190
O/U 218

#Hawks +280
#Jazz -8
O/U 222

#Trailblazers +125
#Clippers -3
O/U 220½ https://t.co/8nKB5gGojg"
76ers,2021-11-11,@senatordisco @yerinami The 76ers look fine without him honestly he needs to go to the Wolves imo imo
76ers,2021-11-12,"RT @brasilcoast2: Rich Paul:

“As multas, as frases polêmicas, a repercussão negativa, tudo isso está afetando a saúde mental dele. Ou o 76…"
76ers,2021-11-13,"Los 76ers quieren retomar la victoria contra los Pacers 🔥

Disfruta de la NBA por #ESPNenStarPlus 🏀

https://t.co/xqppFyk7Ya https://t.co/84JordUU6Q"
76ers,2021-11-14,"@TweetsByDrae @samuel101ts Knicks, Pistons, Pacers and 76ers all played that tough style of basketball."
76ers,2021-11-15,"@SamQuinnCBS There was no way that team was winning back to back if it remained intact. And Pelinka, Lebron and AD knew that. In the bubble there were no Bucks, no Nets, no GSW, no 76ers, no Suns and no Clippers. Granted half of those teams got derailed by injuries, but no one knew that"
76ers,2021-11-16,"RT @mikalbridge: NBA Contender or Pretender 

Eastern Conference 

1. Wizards (Pretender)
2. Bulls (Contender)
3. Nets (Contender)
4. Heat…"
76ers,2021-11-17,"RT @FOS: https://t.co/B2C28rpvUi has launched an absolute marketing onslaught in sports:

PSG: $30M, 3 years
UFC: $175M, 10 years
F1: $100M…"
76ers,2021-11-19,RT @InOutNBA: Ben Simmons forcing his trade on the 76ers https://t.co/sCi35fkcby
76ers,2021-11-20,"76ers' Thybulle returns from 7-game protocols absence
https://t.co/cFIwpp5ttW"
76ers,2021-11-23,@sixers @TyreseMaxey @LaurenMRosen So glad he is on the 76ers! Ball young man Ball! 🙏🏀💪
76ers,2021-11-24,[UPDATE] Philadelphia 76ers +12.0 (+10.5) at Golden State Warriors | Wed 22:10ET #PHIvsGSW #NBA ~ https://t.co/bOrNBAxUq2
76ers,2021-11-25,"Stephen Curry's Warriors get past Seth Curry's 76ers, 116-96 https://t.co/0F5dMkFzTJ https://t.co/rCCrcy5bHu"
76ers,2021-11-26,"RT @WisemanFan: Andrew Wiggins defense vs 76ers 
Tyrese maxey 0-4 0-1 1 TOV
Seth curry 1-3 0-1 1 block
Another good defensive night from An…"
76ers,2021-11-27,"RT @NBA: Give it up, move off ball, get it back... a Steph Curry specialty! 👌

76ers/Warriors live now on ESPN https://t.co/QIj1ipFjf1"
76ers,2021-11-28,@MarneyGellner https://t.co/8tLQjU7fvp
76ers,2021-11-29,"Lunes noche de baloncesto. 

🕖7:00PM
📺@NBCSPhilly 
📻@975TheFanatic
🎙️https://t.co/7Yv1NToRFD                      
🏀@OrlandoMagic 
🎟️https://t.co/hs58GTRloz  

Pres. By @Ticketmaster https://t.co/yB3ZP8HpI3"
blazers,2021-11-09,@UAB_MBB Glad Basketball is starting. Go Blazers!
blazers,2021-11-11,"RT @CHold: Suns 27, Blazers 26: end of first quarter. 6 points, 3 assists for @Dame_Lillard. 6 points, 3 rebounds for @2ez_nassie. Both tea…"
blazers,2021-11-12,Taking off Blazers and putting them on is the biggest struggle in my life
blazers,2021-11-13,RT @nameandnumber79: @silverrich39 Hence why the blazers wouldn't give him the England job.
blazers,2021-11-14,"How to watch Nuggets vs. Trail Blazers: TV channel, NBA live stream info, start time https://t.co/rhpAG0It15"
blazers,2021-11-15,"RT @sugadboy: Mi mamá encontró una bolsa con ropa de cuando era soltera y me quedé con algunos blazers y sacos vintages, amo que se haya vu…"
blazers,2021-11-16,"""What Do Y'all Think About Cliff Alexander?""

https://t.co/xRmUxBmaUw

[via r/ripcity Nov 16, 2015 #Blazers]"
blazers,2021-11-17,RT @SamTheManFrick: Here’s a early preview between the Angola Lady Hornets and the Eastside Lady Blazers at Gerb Court. While it’s been nea…
blazers,2021-11-19,"Perfect Fit Guaranteed Custom Dress With Style
Whether you need an outfit for a special event, meet friends, or go on a date, @just4uniquecom has a wide selection of trendy and chic plus size dresses, tailored jackets and blazers, and more. Click here: https://t.co/Anhd6C9xcc https://t.co/1UoOCsynXs"
