Team,Date,Tweet
76ers,2021-11-09,"#NBA  Do[u konferasinda  Philadelphie 76ers - New York Knicks ile karşı karşıya geliyor. Karşılaşma Türkiye saati ile 03.00'da başlayacak.
Kazanmak  İçin Sende Oyna🔗https://t.co/AVLt5DLima
#melbet #melbetnba https://t.co/ctqTsBrsZ9"
76ers,2021-11-11,"RT @YoungNBA: Top 10 halfcourt offenses after three weeks: 

(Points per 100 halfcourt poss.)

1. Warriors – 102.3
2. 76ers – 99.4
3. Nets…"
76ers,2021-11-12,"RT @ShamsCharania: Rich Paul: “I truly believe the fines, the targeting, the negative publicity shined on the issue — that’s very unnecessa…"
76ers,2021-11-13,RT @SNFaizalKhamisa: Fred VanVleet fined $15000 for that gangster-ass celebration against the 76ers yesterday.
76ers,2021-11-14,RT @NBAJPN: 🎥ペイサーズのマルコム・ブログドンが今季初＆キャリア2度目のトリプルダブル（13得点、10リバウンド、10アシスト）を達成！ チームは76ersに勝って2連勝🔥 @MalcolmBrogdon7 @Pacers #NBA #NBAjp #GoldBloo…
76ers,2021-11-15,"RT @statmuse: These were the Bulls last 8 opponents:

Jazz
Celtics
76ers
76ers
Nets
Mavs
Warriors
Clippers

They are 5-3 in that span despi…"
76ers,2021-11-16,"RT @NBA: With #NBAJerseyDay on Tuesday, December 14th... listen in to @spidadmitchell explain why he dons the No. 45! 🕷️

Donovan Mitchell…"
76ers,2021-11-17,"RT @HukAleksandra: It's unreal how @cryptocom is focusing on marketing. Shit, the company has teamed up with Matt Damon, The UFC, Paris Sai…"
76ers,2021-11-19,@SixersZak @gutileonardo @njones1213 @embiidhomie @KobakeBrylton You see the 76ers record with Embiid out all those games last year
76ers,2021-11-20,"RT @DGarland4MVP: #NBA75 | 21/11

Portland-76ers
➡️McCollum 20 pts @1.65 | 1%
➡️Harris 20 pts @1.82 | 1%
➡️CJ &amp; Harris 20 pts @3 | 0.5%
📚Be…"
76ers,2021-11-23,"San Antonio Spurs vs Phoenix Suns
Utah Jazz vs Memphis Grizzlies
Sacramento Kings vs Philadelphia 76ers
NBA LIVE.https://t.co/17fqFEVSoP"
76ers,2021-11-24,"RT @sixers: Hard work pays off.

From intern to Assistant GM, Vince Rozman discusses his unique journey with the 76ers, and has proven hims…"
76ers,2021-11-25,"RT @ESPNStatsInfo: The Warriors have 2 wins by 20+ points this season after trailing by at least 10 points.

The rest of the NBA has 3 of t…"
76ers,2021-11-26,"Warriors, Suns and Nets jockey for No. 1 while Jazz, Hornets, Celtics, Bucks rise and Bulls, Wizards, Nuggets, 76ers fall. https://t.co/ywvTvmrXNd"
76ers,2021-11-27,"RT @BartekTomczak: Zapraszam serdecznie o północy na 76ers - Timberwolves do @CANALPLUS_SPORT 📺 Będę ja🎙️, będzie Wojtek Michałowicz🎙️ i je…"
76ers,2021-11-28,"But then again, the 76ers are the same team that tanked for 5 years straight just for them to have  the relevance they have today"
76ers,2021-11-29,"Joel Embiid regresó en forma a la duela con un increíble performance: 

42 pts / 14 reb / 3 asist.

Veamos cuáles son las propuestas de valor del juego entre Magic y 76ers. Booom!"
blazers,2021-11-09,"RT @BrasilClippers: HORA DO BOLÃO.

Quem acertar os pontos, rebts e assists do Paul George hoje contra o Blazers leva uma Jersey.

- Tem qu…"
blazers,2021-11-11,RT @RVHS_Counseling: Over 700 students at @rvhs achieved the All A or A/B Honor Roll for 1st quarter. We are certainly proud of you. This d…
blazers,2021-11-12,Good luck to @Dyersville's @BeckmanCatholic Blazers in this morning's Iowa HS semifinal game. 🌽🏈🌽👍💚💛 https://t.co/MoJL4GyeT6
blazers,2021-11-13,"RT @diandraann: The Trail Blazers President resigning feels like the beginning of… a lot.

Hopefully at the end of it is a beautiful resolu…"
blazers,2021-11-14,RT @BowenGavyn: 100% Committed! Go Blazers🐉🔥 https://t.co/ainIYJE3vx
blazers,2021-11-15,"RT @hauteblood: somebody’s gotta be the tote bag, taylor swift, harry styles, farmers market, earth tones, book obsessed, loafers and blaze…"
blazers,2021-11-16,"Is Brook Lynn closet full of blazers like Mr. Rogers with sweaters? 
#GH"
blazers,2021-11-17,"CHICAGO BULLS VS BLAZERS! 
WHO WE BETTING ON?"
blazers,2021-11-19,RT @Liilezzz: The blazers have the same damn team &amp; the only nigga that’s improving is Dame something has to change
blazers,2021-11-20,RT @JerryBriggs: UTSA scores a touchdown on its first drive of the second half and then forces UAB into a 3-and-out.  First  3-downs-and-pu…
blazers,2021-11-23,"There's only one team who made the double or more points than his opponent in NBA history, Pacers against blazers (124x59). Bucks is on the way to archive this Tonight. #NBA"
blazers,2021-11-24,"RT @DansoPhilip10: Nike Blazers

330 cedis https://t.co/tjtIvTK7ag"
blazers,2021-11-25,RT @laurentculture: no one can do blazers better than saint laurent https://t.co/PAm9jN2vTa
blazers,2021-11-26,It’s Gameday Blazers get some GREEN on. PS it’s my Birthday if you see me at @ProtectiveStdm you can buy me a Sloss Dog. https://t.co/qJYD0NB9Ev
blazers,2021-11-27,RT @fymroo: imma be honest but atp i see warriors vs. grizzlies as more of a rivalry than warriors vs. blazers
blazers,2021-11-28,"Últimos 16 jogos do Phoenix Suns:

✅ V - Cavs
✅ V - Pelicans
✅ V - Rockets
✅ V - Hawks
✅ V - Kings
✅ V - Blazers
✅ V - Grizzlies
✅ V - Rockets
✅ V - Wolves
✅ V - Mavs
✅ V - Mavs
✅ V - Nuggets
✅ V - Spurs
✅ V - Cavs
✅ V - Knicks
✅ V - Nets

Quem segura? ☀☀☀ https://t.co/oUOegXQa1V"
blazers,2021-11-29,"@antonin_org Steph owns:
Rockets 
Clippers
Blazers"
bucks,2021-11-09,RT @POTUS: In sports — as in a democracy — unity is perhaps the most elusive and necessary of things. But that’s who the Milwaukee @Bucks a…
bucks,2021-11-11,"RT @Bucks: Don't say it. 
Don't say it. 
Don't say it. 

B I N G    B O N G❗️ https://t.co/7ELhpnjFVL"
bucks,2021-11-12,@laraeves is this person native? imma need them to cashapp me 20 bucks for using the word tribe for this
bucks,2021-11-13,@XrpInfinite @XrpBart @Fame21Moore Nah I say like 5k #XRP Me myself I’m done with slave prison life “9-5” I’m 38 I’m retired before 39. Crypto for Life! Plus all the airdrops to many to name. #Xrdoge was 5000 bucks. 3.7mil for free.
bucks,2021-11-14,RT @Bucks: Bobby has reached double figures in scoring in all four games of the current road trip including a season-high 22 points on Frid…
bucks,2021-11-15,"@itsyagirllnatt @yourmajesty2U Depends on who u know and what u like. For me 200 bucks is 800 bucks, because of who I know and what I like and what I know I can make shake with that 200 lls"
bucks,2021-11-16,RT @LakerCentral365: The Bucks are 6-8 and in 11th place in the east. The Lakers are 8-7 and in 7th place. Lakers came into the season miss…
bucks,2021-11-17,"RT @michellelynn097: Hey Twitter peeps,  I need 75 bucks for the rest of the month. I am an editor and I am willing to edit for you. Please…"
bucks,2021-11-19,RT @mintsoir: hey anyone wanna get an icon in this style for like 10 bucks ... i wanna get caitlyns skin bundle 😵‍💫 https://t.co/PFlsEywXA2
bucks,2021-11-20,"RT @Bucks: Newsworthy shirt. 📰

📸: @MotorolaUS https://t.co/sIMUdpbLpg"
bucks,2021-11-23,RT @Bucks: Ope 😅 https://t.co/V1UPzs7RJl
bucks,2021-11-24,RT @jakebrodes: How the fuck is this more convenient or even “cooler” than handing a guy 5 bucks and saying thanks big dog cheers keep the…
bucks,2021-11-25,RT @Dean_Nye: I know you’re all watching Bachie but this bloke on Hotseat just one a million bucks - he and his husband got married 18 time…
bucks,2021-11-26,"RT @DrSap4UM: 1997
As the final seconds ticked off the scoreboard, this was the scene at the end of that glorious Michigan victory.
GO BLUE…"
bucks,2021-11-27,RT @ClutchPointsApp: Giannis Antetokounmpo had an interesting response when asked about Bobby Portis' 3-point shooting and impact on the co…
bucks,2021-11-28,"RT @NBAdoPovo: Pô, o Giannis Antetokounmpo é um ser humano sensacional. 😊
https://t.co/oxtgfu9h2n"
bucks,2021-11-29,"#NBA , güç sıralamasını güncelledi.

1.) Warriors
2.) Suns
3.) Nets
4.) Heat
5.) Bucks
6.) Bulls
7.) Jazz
8.) Wizards
9.) Mavs
10.) Clippers https://t.co/9VJUvsxqZM"
bulls,2021-11-09,"RT @bulltangclan: 🎁 #NFTGiveaway 🎁

1x NFT &amp; 3x Presale-List to win, collection of 8888 Bulls &amp; Cows with breeding in RoadMap 1.0 😯😯

👉 RT…"
bulls,2021-11-11,Bulls commentator wild for that
bulls,2021-11-12,Ethereum Classic relatively unchanged as ETC bulls eye $61 to confirm a breakout – FXStreet https://t.co/UPlBPWIaEU
bulls,2021-11-13,#hotass #bussy #gay #gaymen #gayporn #bois #alpha #alphamale #alphamen #daddy #daddysboy #jock #jocks #jockstrap #hotbody #bear #bears #otters #twink #twinks #gaysex #bull #bulls #LGBTQ #adults #DaddiesBoy #delicious #gayjock #femboy #gogoboy #graysweatpants #FriskyFriday
bulls,2021-11-14,"Ça jouait à 2k, je venais de commencer une nouvelle carrière en MyGM avec les Bulls 😭 avant de voir quelques tweets qui parlait d'une fusillade à Paris et j'ai switch sur BFM https://t.co/GUGOK0ldyl"
bulls,2021-11-15,RT @KCJHoop: Bulls are 9-4 and rank 6th in net rating despite not having a starter (Patrick Williams) and a key reserve (Coby White) play a…
bulls,2021-11-16,"@berny97RF @AlvariLLoo01 Yo te he dicho que warriors juega bien
Sobre todo despues de ver el de bulls
Tambien jugaban bien los atlanta hawks del 16
Hasta que lebron les casco un 4 0 
Tambien jugaba bien utah el año pasado hasta que clippers sin kawhi les mando a cas
Y lo mismo bucks hace 2 años con miami"
bulls,2021-11-17,"RT @Cointelegraph: Bulls are holding Bitcoin price at $60,000 and altcoins are aiming to secure a green daily close. It’s starting to look…"
bulls,2021-11-19,RT @Benzinga: @wallstmemes @theblondebroker @WOLF_Financial @iironmike @thebossofbali @kokid951 @christinebarnum @Cam_rackam @TrustWallet @…
bulls,2021-11-20,#Sports : Philadelphia Union 1-0 New York Red Bulls: Player Rating By axadle https://t.co/i1Tq1510Zy https://t.co/XGFZqUw2cY
bulls,2021-11-23,"Bulls não tem pontos de quadra nós últimos 4min.

#BullsNation"
bulls,2021-11-24,"RT @DurhamBulls: Just thinking about all the Bulls shirts $223 million could buy

Especially when they're 20% off"
bulls,2021-11-25,"RT @RichBullKiranyx: @wolfofwallst Rich Bulls had strongest launch day of 2k21 and breaks all records, I've never seen a chat like that.

Y…"
bulls,2021-11-26,"@xbillc 
The Bovine Weekend is On 
God Bless Our Bucking Bull Family 
Bucking Bulls Matter Amen 
🐂🤠🐃🤠🐂🤠🐃🤠🦬🦬🦬 https://t.co/OIsArPl5O1"
bulls,2021-11-27,RT @SheldrickTrust: Tsavo is in near-drought and judging by the visitors to our troughs - some 40 wild elephant bulls the other day - #wild…
bulls,2021-11-28,RT @RustyBUCKETS321: Problem with the bulls being good is now I expect to win every night lol
bulls,2021-11-29,RT @ChiSportUpdates: LaVar Ball told @mack_liederman that he met with Chicago Bulls executive vice president of basketball operations Artur…
cavaliers,2021-11-09,"RT @cavs: The last time we were at home was pretty fun...

Join us at @RMFieldHouse tomorrow night as we take on the Wizards in the first g…"
cavaliers,2021-11-11,"RT @YahooSportsbook: It’s GAME OVER for the Cavaliers tonight❗️

Wizards secure the win (-150) BUT the spread (-3) pushes 😬😬

 https://t.co…"
cavaliers,2021-11-12,"@BAYC2745 Rap song: Headlines by Drake
Clothing Brand: Lacoste
Basketball Team: Cleveland Cavaliers
Television Show: Jimmy Fallon's Tonight Show"
cavaliers,2021-11-13,RT @Vongni: TOUCHDOWN! CVC. Chapman Dunn brings in the 14-yard strike. Jaeden Moore runs in the 2-point try. Cavaliers now lead Firebaugh 2…
cavaliers,2021-11-14,"Celtics' Jaylen Brown out, 2 rotation players probable for Monday's game against Cavaliers – NBA News https://t.co/502WuBQtDF"
cavaliers,2021-11-15,"* ""BRUCE FLOWERS"", CLEVELAND CAVALIERS, 1979 NBA DRAFT.
* ""BRUCE FLOWERS"": RONALDO PARDEDE'S COUSINS WIVES &amp; FLOWER OF LUOYANG WIVES...EMPEROR RONALDO PÀRDEDE OF ALL KOREA &amp; CHINA &amp; TAIWAN FOREVER. https://t.co/yz9DGLj6VP"
cavaliers,2021-11-16,"RT @KevinOConnorNBA: New Mismatch with @ChrisVernonShow on surprises in the East (Wizards, Bulls, and Cavaliers), how deep the NBA is now,…"
cavaliers,2021-11-17,RT @OConnellHockey: IT'S GAME DAY! Join us this afternoon at @MedStarIceplex as the Knights take on the Archbishop Spalding Cavaliers. The…
cavaliers,2021-11-19,"Stephen Curry scored 20 of his 40 points in the fourt quarter leading Golden State Warriors overcame a 13-point deficit to beat the Cleveland Cavaliers 104-89. Nemanja Bjelica added 14 points, Andrew Wiggins had 12 points and Draymond Green had 14 assists for Golden State. #NBA https://t.co/RpL1K9C1HW"
cavaliers,2021-11-20,@cavaliers_f_c Unlucky glad to see you have recruited
cavaliers,2021-11-23,"RT @JCCC_WBB: 𝙁𝙄𝙉𝘼𝙇 

Cavaliers handle Missouri Valley with a 108-36 win to head into Thanksgiving Break 

Next 🆙 Cavs will be back in acti…"
cavaliers,2021-11-24,Check out LARRY NANCE JR CLEVELAND CAVALIERS NIKE THE LAND JERSEY YOUTH LARGE FREE SHIP #Nike https://t.co/OdXatr1bNf via @eBay
cavaliers,2021-11-25,Cavs players lend a hand at Boys &amp; Girls Club https://t.co/leef4oGJUl
cavaliers,2021-11-26,RT @ShamsCharania: Just in on the return of Cavaliers rookie Evan Mobley: https://t.co/DMwotVSAjy
cavaliers,2021-11-27,@MrHokie I can only hope that’s the way the Cavaliers play today. In a deep rut. #GoHokies #WinBig
cavaliers,2021-11-28,RT @GangStarrrz: Cavaliers marocains 🥰🥰 https://t.co/oSAZEjKUpk
cavaliers,2021-11-29,"RT @PMCavs_GBB: Hot shooting pushes the Lady Cavaliers past Newark. Cy’Aira Miller led all scorers with 18 points, hitting 6 3’s. Trinity S…"
celtics,2021-11-09,"RT @Ballislife: 33 YEARS AGO TODAY 🐐
Michael Jordan had 52 PTS &amp; 9 STLS (NBA record 8 in the 1st half) vs the Celtics. 

There have been 16…"
celtics,2021-11-11,RT @celtics: a good night for a home win ☘️ https://t.co/bgy1k3y2iH
celtics,2021-11-12,"RT @TJCeltao: HOJE TEM BOSTON CELTICS!!! ☘☘☘

Vamos em busca da nossa segunda vitória consecutiva. Pra cima deles! VAMOS, CELTICS!!! ☘

Que…"
celtics,2021-11-13,"RT @ChrisFedor: I’m hearing #Cavs Kevin Love won’t play tonight against the Boston Celtics, as there are still steps he has to take when it…"
celtics,2021-11-14,"RT @NBAspain: 16 puntos, 7 asistencias, 5 rebotes

Esa última asistencia

@rickyrubio9 en la victoria de @cavs ante Celtics https://t.co/HR…"
celtics,2021-11-15,@NoHopeNoFearDD @JFBressan95 @HDB_ok Tuvo la mala suerte de coincidir en la época de los Celtics casi invencibles
