Team,Date,Tweet
76ers,2021-11-09,Fuck the 76ers and the beat . Soft fraud teams
76ers,2021-11-11,"So I guess all were gonna get on NBA tv is Warriors, Portland, Lakers, Boston and 76ers?! DUMB!!!"
76ers,2021-11-12,"@CombatChr I don't think Rich screwed up. I think Ben is just spoiled, stubborn and arrogant. And Morey and the 76ers look stupid. They are a clown organization now. Any other team would have just traded Ben."
76ers,2021-11-13,RT @JoeyBurton: Whether it’s on the road or at home @GeorgesNiang20 makes time to get extra work in. It was a pleasure having him in the gy…
76ers,2021-11-14,"RT @HukAleksandra: It's unreal how @cryptocom is focusing on marketing. Shit, the company has teamed up with Matt Damon, The UFC, Paris Sai…"
76ers,2021-11-15,"🎟 the MINI-VAN returns 🎟

Jazz vs 76ers tomorrow 
(late game. 8pm tip-off)
find yourself some tickets👇

Jazz tickets thru #VividSeats 👉 https://t.co/zYIKKMrUxy

Jazz tickets thru #TicketMaster 👉 https://t.co/mljNOLw6CJ

#JazzNation #UtahJazz #TakeNote
#NBA https://t.co/79QBl1dA8c"
76ers,2021-11-16,"#JuancitoSport #NBA

Enfrentamientos del Día en la #NBA75:

8:30 PM
#Nets 🆚  #Warriors

11:00 PM
#Jazz 🆚  #76ers

11:30 PM
#Clippers 🆚  #Spurs

¡Juega ya!  En https://t.co/xCC3u0r8DG"
76ers,2021-11-17,"@PompeyOnSixers 76ers will be a top seed by the end of the season - as long as they're healthy by the playoffs

After 7 yrs the Sixers finally have a good PG so they'll do well in the playoffs

When this team is healthy they can compete w/ any other team

just keep Simmons away from the team"
76ers,2021-11-19,Coach Michael Malone ejected in Nuggets’ humbling loss to 76ers https://t.co/yGN2Qt8hs1
76ers,2021-11-20,"🇺🇸 ¡Qué gran #MadrugadaNBA! 🔥
 
01:00 Wizards - Heat 
01:00 Pacers - Pelicans 
01:30 Celtics - Thunder 
01:30 Hawks - Hornets 
02:00 Timberwolves - Grizzlies 
02:00 Bucks - Magic 
04:00 Blazers - 76ers 
04:00 Kings - Jazz 

#NBA #NBA75 https://t.co/hiyMH4kPHy"
