Team,Date,Tweet
76ers,2021-11-09,"76ers vs. Bucks live stream info, TV channel: How to watch NBA on TV, stream online

#NBA #NBATwitter ===&gt;&gt; @espnpluslivetv"
76ers,2021-11-11,"RT @NBACobwebs: November 10, 1989: The Timberwolves get their first win in franchise history, a 125-118 overtime victory over Philadelphia…"
76ers,2021-11-12,"RT @PatMcAfeeShow: ""The Celtics &amp; 76ers did have conversations about Ben Simmons.. those conversations ended when the 76ers asked for Jayle…"
76ers,2021-11-13,"Los 76ers quieren retomar la victoria contra los Pacers 🔥

Disfruta de la NBA por #ESPNenStarPlus 🏀

https://t.co/xqppFyk7Ya https://t.co/84JordUU6Q"
76ers,2021-11-14,Isiah Thomas déchire les 76ers pour avoir diffusé du « linge sale » https://t.co/L7e1e2PuGX
76ers,2021-11-15,RT @NBA: Get your @sixers Nike NBA City Edition Jersey NOW ➡️ https://t.co/m5cabCVoe5 https://t.co/r2lZWJil3t
76ers,2021-11-16,"RT @YinzOffsides: He would rejoin the Rockets for the ‘89-90 season before finishing his nba career with the Philadelphia 76ers. 
Wiggins w…"
76ers,2021-11-17,"RT @SerenaWinters: Two Truths &amp; A Lie 😉

Strangest-sports-you’ve-never-heard-edition. 

Too much fun with @MarcFarzetta!

Join us for the f…"
76ers,2021-11-19,"RT @LegionHoops: REPORT: The 76ers and Pistons have discussed a trade that would send Ben Simmons to Detroit and Jerami Grant, a young play…"
blazers,2021-11-09,"RT @NBA: 3 games on Tuesday night's schedule!

▪️ #1 in East Sixers (8-3) host Bucks
▪️ #2 in West Jazz (7-3) take on Hawks
▪️ Clippers see…"
blazers,2021-11-11,"RT @AntonioSabatojr: . #trailblazersfilm 
Trail Blazers Pictures 🎥🐎🇺🇸 https://t.co/YzNAVoJpLy"
blazers,2021-11-12,Só q sem os blazers
blazers,2021-11-13,Layer your weekend outfit with our new arrival blazers. Size up for the oversized look ✌️ #MYDV8 #TapToShop https://t.co/5dJd10Tl7H
blazers,2021-11-14,"RT @UAB_MBB: Week 1: Three games, Three Ws 😎

Five Blazers reach double figures as UAB moves to 3-0 on the season! 

#WinAsOne https://t.co…"
blazers,2021-11-15,"Damian Lillard injury update: Trail Blazers star sidelined with lower abdominal pain
 https://t.co/KB5ROBm3sg 
#Odu_News"
