Team,Date,RF Positive,RF Negative,NB Positive,NB Negative,LR Positive,LR Negative
76ers,2021-11-09,109,11,85,35,91,29
76ers,2021-11-11,78,22,65,35,66,34
76ers,2021-11-12,154,46,170,30,180,20
76ers,2021-11-13,78,22,65,35,68,32
76ers,2021-11-14,88,12,78,22,75,25
76ers,2021-11-15,99,1,86,14,89,11
76ers,2021-11-16,95,5,81,19,84,16
76ers,2021-11-17,88,12,91,9,90,10
76ers,2021-11-19,89,11,67,33,70,30
blazers,2021-11-09,110,10,92,28,90,30
blazers,2021-11-11,90,10,57,43,67,33
blazers,2021-11-12,180,20,156,44,172,28
blazers,2021-11-13,81,19,74,26,76,24
blazers,2021-11-14,93,7,81,19,79,21
blazers,2021-11-15,90,10,72,28,74,26
blazers,2021-11-16,89,11,80,20,82,18
blazers,2021-11-17,95,5,84,16,87,13
blazers,2021-11-19,87,13,75,25,78,22
bucks,2021-11-09,98,22,88,32,94,26
bucks,2021-11-11,89,11,70,30,83,17
bucks,2021-11-12,153,47,142,58,145,55
bucks,2021-11-13,78,22,61,39,67,33
bucks,2021-11-14,86,14,63,37,75,25
bucks,2021-11-15,87,13,80,20,78,22
bucks,2021-11-16,86,14,72,28,77,23
bucks,2021-11-17,92,8,67,33,78,22
bucks,2021-11-19,82,18,65,35,75,25
bulls,2021-11-09,103,17,96,24,99,21
bulls,2021-11-11,93,7,74,26,82,18
bulls,2021-11-12,178,22,169,31,176,24
bulls,2021-11-13,81,19,81,19,77,23
bulls,2021-11-14,87,13,73,27,77,23
bulls,2021-11-15,85,15,83,17,86,14
bulls,2021-11-16,82,18,79,21,72,28
bulls,2021-11-17,83,17,77,23,66,34
bulls,2021-11-19,85,15,65,35,69,31
cavaliers,2021-11-09,118,2,105,15,105,15
cavaliers,2021-11-11,93,7,47,53,60,40
cavaliers,2021-11-12,190,10,107,93,135,65
cavaliers,2021-11-13,94,6,71,29,76,24
cavaliers,2021-11-14,93,7,76,24,76,24
cavaliers,2021-11-15,97,3,74,26,81,19
cavaliers,2021-11-16,60,40,48,52,53,47
cavaliers,2021-11-17,92,8,70,30,81,19
cavaliers,2021-11-19,94,6,73,27,77,23
celtics,2021-11-09,102,18,106,14,110,10
